cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-9.305973928161853,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,20,59663.472534484834,-119286.73396065099,73.31386361451587,4.16427297062949e-17
-9.29382484462351,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,21,59663.62317087006,-119285.01406421373,75.03376005178143,1.76225367113304e-17
-9.292798200334897,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,22,59663.6243089439,-119282.99415472461,77.0536695408955,6.41875281539153e-18
-9.305845848308863,+,+,+,+,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,23,59663.75541804636,-119281.23317009675,78.81465416876017,2.66107857353592e-18
-9.293676655714519,+,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,24,59663.9060523089,-119279.51021782534,80.53760644016438,1.12440654810848e-18
-9.306680519869651,+,+,+,+,+,+,NA,+,+,+,NA,NA,+,NA,NA,NA,24,59663.756163474216,-119279.21044015598,80.83738410953083,9.67893274883784e-19
-9.294508788923125,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,25,59663.90677639364,-119277.48642646619,82.56139779931982,4.08754602907778e-19
-9.293410055870408,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,26,59663.90799290277,-119275.46260045443,84.58522381108196,1.48591655589373e-19
-8.769461829717565,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58969.9747920241,-117929.9345615144,1430.1132627511106,9.8694543522399e-312
-8.759512763506326,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,58968.580918739746,-117929.15182496385,1430.8959993016615,6.6730451046921e-312
-8.757165408231923,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,58970.13289514376,-117928.2447534731,1431.8030707924045,4.23990366221384e-312
-8.76811073631849,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,58969.9976659689,-117927.97429512338,1432.0735291421297,3.70362241927138e-312
-8.758158226555633,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58968.60393667536,-117927.19285081692,1432.854973448586,2.50575282848238e-312
-8.755810524982733,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,58970.155813957856,-117926.28357180349,1433.7642524620169,1.59034299485427e-312
-8.76756116272146,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,58970.00365710823,-117925.97925810424,1434.068566161266,1.3658717416661e-312
-8.768919882751403,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,7,58969.99834617449,-117925.96863623676,1434.0791880287434,1.35863691619814e-312
-8.758951689479177,+,NA,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,6,58968.60460044675,-117925.18816407908,1434.8596601864265,9.19657326790624e-313
-8.755259431885111,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,58970.16180950304,-117924.28753782343,1435.760286442077,5.86215812181941e-313
-8.756596634798926,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,8,58970.1564622533,-117924.27684332394,1435.7709809415683,5.83089535771177e-313
-8.768362221358785,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,8,58970.00433217298,-117923.97258316331,1436.0752411021967,5.00801929142055e-313
-8.756040311774154,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,9,58970.1624637564,-117922.27981473085,1437.7680095346586,2.14825582707233e-313
-8.754918396294757,+,+,+,+,NA,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,10,58970.16377929361,-117920.27240692014,1439.7754173453723,7.87377374243115e-314
-5.782369187361353,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,58369.14493501805,-116722.25378885344,2637.7940354120656,0
-5.781312770723592,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,58369.14495537534,-116720.24479796873,2639.8030262967804,0
